Sundar Pichai,CEO,https://twitter.com/sundarpichai,
Caesar Sengupta,General Manager & VP| Payments and Next Billion Users,https://www.linkedin.com/in/caesar-sengupta-2743b/,
Catherine Courage,VP| Ads & Commerce User Experience,https://www.linkedin.com/in/catherinecourage/,
Eve Andersson,Director of Inclusive Machine Learning & Accessibility Engineering,https://www.linkedin.com/in/eveandersson/,
Matt Brittin,President| EMEA,https://www.linkedin.com/in/matt-brittin-5aa6391/,
Kate Brandt,Chief Sustainability Officer,https://www.linkedin.com/in/katebrandt/,
Ruth Porat,SVP and CFO,https://www.linkedin.com/in/fgpferdt/,
Frederik G. Pferdt,Chief Innovation Evangelist,https://www.linkedin.com/in/melonieparker/,
Melonie Parker,Chief Diversity Officer,https://www.linkedin.com/in/kent-walker-5963bb198/,
Kent Walker,President| Global Affairs & Chief Legal Officer| Google & Alphabet,https://www.linkedin.com/in/philipp-schindler-12531a94/,
Philipp Schindler,Senior Vice President and Chief Business Officer,https://www.linkedin.com/in/lorraine-twohill-ba3a56185,
Lorraine Twohill,CMO,https://twitter.com/lorrainetwohill,
Thomas Kurian,CEO of Google Cloud,https://www.linkedin.com/in/thomas-kurian-469b6219/,
Hiroshi Lockheimer,Senior Vice President of Platforms and Ecosystems,https://www.linkedin.com/in/hiroshi-lockheimer-941/,
Urs Hölzle,Senior Vice President of Engineering,https://www.linkedin.com/in/urs-h%C3%B6lzle-b3168365/,
Jen Fitzpatrick,SVP| Core Systems & Experiences,https://www.linkedin.com/in/jen-fitzpatrick-b723182/,
Richard Marks,Director| Technical Project Lead at Google ATAP,https://www.linkedin.com/in/richard-marks-355711113/,
Sagar Kamdar,Vice President Of Product Management,https://www.linkedin.com/in/sagartkamdar/,
Sameer Samat,VP| Product Management,https://www.linkedin.com/in/sameersamat/,
Rick Osterloh,SVP| Devices & Services,https://www.linkedin.com/in/rickosterloh/,
Allan C. Thygesen,President| Americas & Global Partners,https://www.linkedin.com/in/allanthygesen/,
Bill Ready,President of Commerce| Payments & Next Billion Users,https://www.linkedin.com/in/adairefoxmartin/?originalSubdomain=ie,
Robert Enslin,President| Cloud Sales,https://www.linkedin.com/in/gerald-wight-98049494/,
Adaire Fox-Martin,President| EMEA Cloud,https://www.linkedin.com/in/kelly-ducourty-591754/,
Gerald Wight,SVP of Product Management,https://www.linkedin.com/in/greg-tomb/,
Javier Soltero,Vice President & GM| Google,https://www.linkedin.com/in/lisagevelber/,
Kelly Ducourty,Vice President| Cloud GTM Strategy and Operations,https://www.linkedin.com/in/alisonwagonfeld/,
